first,second,third
ich,im,laufe
im,laufe,meines
laufe,meines,lebens
meines,lebens,mit
lebens,mit,vielen
mit,vielen,ernsthaften
vielen,ernsthaften,leuten
ernsthaften,leuten,zu
leuten,zu,tun
zu,tun,ich
tun,ich,habe
ich,habe,viel
habe,viel,bei
viel,bei,erwachsenen
bei,erwachsenen,gelebt
erwachsenen,gelebt,und
gelebt,und,ich
und,ich,habe
ich,habe,sie
habe,sie,ganz
sie,ganz,aus
ganz,aus,der
aus,der,nähe
der,nähe,betrachtet
nähe,betrachtet,aber
betrachtet,aber,meine
aber,meine,meinung
meine,meinung,über
meinung,über,sie
über,sie,hat
sie,hat,sich
hat,sich,deshalb
sich,deshalb,nicht
deshalb,nicht,sonderlich
nicht,sonderlich,verbessert
sonderlich,verbessert,wenn
verbessert,wenn,ich
wenn,ich,einen
ich,einen,traf
einen,traf,der
traf,der,mir
der,mir,ein
mir,ein,bisschen
ein,bisschen,heller
bisschen,heller,vorkam
heller,vorkam,dann
vorkam,dann,testete
dann,testete,ich
testete,ich,ihn
ich,ihn,mit
ihn,mit,meiner
mit,meiner,zeichnung
meiner,zeichnung,nr
zeichnung,nr,die
nr,die,ich
die,ich,immer
ich,immer,bei
immer,bei,mir
bei,mir,trug
mir,trug,ich
trug,ich,wollte
ich,wollte,wissen
wollte,wissen,ob
wissen,ob,er
ob,er,wirklich
er,wirklich,schlau
wirklich,schlau,war
schlau,war,aber
war,aber,immer
aber,immer,erhielt
immer,erhielt,ich
erhielt,ich,die
ich,die,antwort
die,antwort,es
antwort,es,ist
es,ist,ein
ist,ein,hut
ein,hut,so
hut,so,sprach
so,sprach,ich
sprach,ich,weder
ich,weder,von
weder,von,riesenschlangen
von,riesenschlangen,noch
riesenschlangen,noch,vom
noch,vom,urwald
vom,urwald,oder
urwald,oder,von
oder,von,sternen
von,sternen,ich
sternen,ich,ließ
ich,ließ,mich
ließ,mich,auf
mich,auf,ihn
auf,ihn,ein
ihn,ein,ich
ein,ich,sprach
ich,sprach,über
sprach,über,bridge
über,bridge,golf
bridge,golf,über
golf,über,politik
über,politik,und
politik,und,krawatten
und,krawatten,und
krawatten,und,der
und,der,erwachsene
der,erwachsene,war
erwachsene,war,zufrieden
war,zufrieden,auf
zufrieden,auf,einen
auf,einen,so
einen,so,vernünftigen
so,vernünftigen,mann
vernünftigen,mann,zu
mann,zu,treffen
zu,treffen,so
treffen,so,lebte
so,lebte,ich
lebte,ich,allein
ich,allein,ohne
allein,ohne,jemanden
ohne,jemanden,mit
jemanden,mit,dem
mit,dem,ich
dem,ich,wirklich
ich,wirklich,hätte
wirklich,hätte,sprechen
hätte,sprechen,können
sprechen,können,bis
können,bis,ich
bis,ich,vor
ich,vor,sechs
vor,sechs,jahren
sechs,jahren,eine
jahren,eine,panne
eine,panne,in
panne,in,der
in,der,wüste
der,wüste,sahara
wüste,sahara,hatte
sahara,hatte,irgendetwas
hatte,irgendetwas,an
irgendetwas,an,meinem
an,meinem,motor
meinem,motor,war
motor,war,kaputt
war,kaputt,gegangen
kaputt,gegangen,und
gegangen,und,weil
und,weil,ich
weil,ich,weder
ich,weder,einen
weder,einen,mechaniker
einen,mechaniker,noch
mechaniker,noch,passagiere
noch,passagiere,bei
passagiere,bei,mir
bei,mir,hatte
mir,hatte,bereitete
hatte,bereitete,ich
bereitete,ich,mich
ich,mich,darauf
mich,darauf,vor
darauf,vor,die
vor,die,schwierige
die,schwierige,reparatur
schwierige,reparatur,ganz
reparatur,ganz,allein
ganz,allein,vorzunehmen
allein,vorzunehmen,dabei
vorzunehmen,dabei,ging
dabei,ging,es
ging,es,für
es,für,mich
für,mich,um
mich,um,leben
um,leben,und
leben,und,tod
und,tod,ich
tod,ich,hatte
ich,hatte,trinkwasser
hatte,trinkwasser,für
trinkwasser,für,knapp
für,knapp,acht
knapp,acht,tage
acht,tage,am
tage,am,ersten
am,ersten,abend
ersten,abend,schlief
abend,schlief,ich
schlief,ich,im
ich,im,sand
im,sand,ein
sand,ein,tausende
ein,tausende,meilen
tausende,meilen,entfernt
meilen,entfernt,von
entfernt,von,besiedeltem
von,besiedeltem,gebiet
besiedeltem,gebiet,ich
gebiet,ich,war
ich,war,viel
war,viel,abgeschiedener
viel,abgeschiedener,als
abgeschiedener,als,ein
als,ein,schiffbrüchiger
ein,schiffbrüchiger,mitten
schiffbrüchiger,mitten,im
mitten,im,ozean
im,ozean,so
ozean,so,könnt
so,könnt,ihr
könnt,ihr,euch
ihr,euch,vorstellen
euch,vorstellen,wie
vorstellen,wie,überrascht
wie,überrascht,ich
überrascht,ich,war
ich,war,als
war,als,ich
als,ich,bei
ich,bei,sonnenaufgang
bei,sonnenaufgang,von
sonnenaufgang,von,einer
von,einer,leisen
einer,leisen,lustigen
leisen,lustigen,stimme
lustigen,stimme,geweckt
stimme,geweckt,wurde
geweckt,wurde,und
wurde,und,die
und,die,sagte
die,sagte,bitte
sagte,bitte,zeichne
bitte,zeichne,mir
zeichne,mir,ein
mir,ein,schaf
ein,schaf,wie
schaf,wie,bitte
wie,bitte,zeichne
bitte,zeichne,mir
zeichne,mir,ein
mir,ein,schaf
ein,schaf,ich
schaf,ich,sprang
ich,sprang,auf
sprang,auf,als
auf,als,wäre
als,wäre,ich
wäre,ich,vom
ich,vom,blitz
vom,blitz,getroffen
blitz,getroffen,worden
getroffen,worden,ich
worden,ich,rieb
ich,rieb,mir
rieb,mir,die
mir,die,augen
die,augen,und
augen,und,schaute
und,schaute,genau
schaute,genau,hin
genau,hin,und
hin,und,ich
und,ich,sah
ich,sah,ein
sah,ein,außergewöhnliches
ein,außergewöhnliches,kleines
außergewöhnliches,kleines,kerlchen
kleines,kerlchen,das
kerlchen,das,mich
das,mich,ernst
mich,ernst,betrachtete
ernst,betrachtete,hier
betrachtete,hier,das
hier,das,beste
das,beste,porträt
beste,porträt,das
porträt,das,ich
das,ich,später
ich,später,von
später,von,ihm
von,ihm,zu
ihm,zu,stande
zu,stande,brachte
stande,brachte,aber
brachte,aber,natürlich
aber,natürlich,ist
natürlich,ist,meine
ist,meine,zeichnung
meine,zeichnung,weit
zeichnung,weit,weniger
weit,weniger,bezaubernd
weniger,bezaubernd,als
bezaubernd,als,das
als,das,original
das,original,das
original,das,ist
das,ist,nicht
ist,nicht,meine
nicht,meine,schuld
meine,schuld,die
schuld,die,großen
die,großen,haben
großen,haben,mich
haben,mich,von
mich,von,meiner
von,meiner,malerkarriere
meiner,malerkarriere,abgebracht
malerkarriere,abgebracht,als
abgebracht,als,ich
als,ich,sechs
ich,sechs,jahre
sechs,jahre,alt
jahre,alt,war
alt,war,sodass
war,sodass,ich
sodass,ich,nichts
ich,nichts,zu
nichts,zu,zeichnen
zu,zeichnen,gelernt
zeichnen,gelernt,hatte
gelernt,hatte,als
hatte,als,geschlossene
als,geschlossene,und
geschlossene,und,offene
und,offene,riesenschlangen
offene,riesenschlangen,ich
riesenschlangen,ich,schaute
ich,schaute,also
schaute,also,voller
also,voller,verwunderung
voller,verwunderung,mit
verwunderung,mit,aufgerissenen
mit,aufgerissenen,augen
aufgerissenen,augen,auf
augen,auf,diese
auf,diese,erscheinung
diese,erscheinung,vergesst
erscheinung,vergesst,nicht
vergesst,nicht,ich
nicht,ich,war
ich,war,tausend
war,tausend,meilen
tausend,meilen,entfernt
meilen,entfernt,von
entfernt,von,jeglichem
von,jeglichem,besiedelten
jeglichem,besiedelten,gebiet
besiedelten,gebiet,dabei
gebiet,dabei,schien
dabei,schien,mir
schien,mir,das
mir,das,kleine
das,kleine,kerlchen
kleine,kerlchen,weder
kerlchen,weder,verirrt
weder,verirrt,noch
verirrt,noch,todmüde
noch,todmüde,weder
todmüde,weder,hungrig
weder,hungrig,oder
hungrig,oder,durstig
oder,durstig,noch
durstig,noch,todängstlich
noch,todängstlich,es
todängstlich,es,wirkte
es,wirkte,ganz
wirkte,ganz,und
ganz,und,gar
und,gar,nicht
gar,nicht,wie
nicht,wie,ein
wie,ein,kind
ein,kind,verloren
kind,verloren,inmitten
verloren,inmitten,der
inmitten,der,wüste
der,wüste,tausend
wüste,tausend,meilen
tausend,meilen,entfernt
meilen,entfernt,von
entfernt,von,jeglicher
von,jeglicher,zivilisation
jeglicher,zivilisation,als
zivilisation,als,ich
als,ich,mich
ich,mich,endlich
mich,endlich,gefasst
endlich,gefasst,hatte
gefasst,hatte,sagte
hatte,sagte,ich
sagte,ich,aber
ich,aber,was
aber,was,machst
was,machst,du
machst,du,denn
du,denn,hier
denn,hier,da
hier,da,wiederholte
da,wiederholte,er
wiederholte,er,ganz
er,ganz,sacht
ganz,sacht,als
sacht,als,handele
als,handele,es
handele,es,sich
es,sich,um
sich,um,eine
um,eine,sehr
eine,sehr,ernstzunehmende
sehr,ernstzunehmende,angelegenheit
ernstzunehmende,angelegenheit,bitte
angelegenheit,bitte,zeichne
bitte,zeichne,mir
zeichne,mir,ein
mir,ein,schaf
ein,schaf,bei
schaf,bei,etwas
bei,etwas,so
etwas,so,beeindruckend
so,beeindruckend,rätselhaftem
beeindruckend,rätselhaftem,wagt
rätselhaftem,wagt,man
wagt,man,nicht
man,nicht,zu
nicht,zu,widersprechen
zu,widersprechen,so
widersprechen,so,absurd
so,absurd,es
absurd,es,mir
es,mir,erschien
mir,erschien,holte
erschien,holte,ich
holte,ich,tausend
ich,tausend,meilen
tausend,meilen,entfernt
meilen,entfernt,von
entfernt,von,jeder
von,jeder,zivilisation
jeder,zivilisation,meinen
zivilisation,meinen,farbstift
meinen,farbstift,hervor
farbstift,hervor,ein
hervor,ein,blatt
ein,blatt,papier
blatt,papier,und
papier,und,einen
und,einen,füller
einen,füller,ich
füller,ich,erinnerte
ich,erinnerte,mich
erinnerte,mich,daran
mich,daran,dass
daran,dass,ich
dass,ich,vor
ich,vor,allem
vor,allem,geographie
allem,geographie,geschichte
geographie,geschichte,mathematik
geschichte,mathematik,und
mathematik,und,grammatik
und,grammatik,erlernt
grammatik,erlernt,hatte
erlernt,hatte,und
hatte,und,so
und,so,sagte
so,sagte,ich
sagte,ich,schlecht
ich,schlecht,gelaunt
schlecht,gelaunt,zu
gelaunt,zu,dem
zu,dem,kleinen
dem,kleinen,männchen
kleinen,männchen,dass
männchen,dass,ich
dass,ich,nicht
ich,nicht,zeichnen
nicht,zeichnen,könne
zeichnen,könne,er
könne,er,antwortete
er,antwortete,mir
antwortete,mir,das
mir,das,macht
das,macht,nichts
macht,nichts,zeichne
nichts,zeichne,mir
zeichne,mir,ein
mir,ein,schafweil
ein,schafweil,ich
schafweil,ich,niemals
ich,niemals,ein
niemals,ein,schaf
ein,schaf,gezeichnet
schaf,gezeichnet,hatte
gezeichnet,hatte,malte
hatte,malte,ich
malte,ich,einfach
ich,einfach,eines
einfach,eines,der
eines,der,zwei
der,zwei,bilder
zwei,bilder,die
bilder,die,ich
die,ich,beherrschte
ich,beherrschte,jenes
beherrschte,jenes,von
jenes,von,der
von,der,geschlossenen
der,geschlossenen,riesenschlange
geschlossenen,riesenschlange,und
riesenschlange,und,ich
und,ich,war
ich,war,verblüfft
war,verblüfft,als
verblüfft,als,der
als,der,kleine
der,kleine,kerl
kleine,kerl,mir
kerl,mir,antwortete
mir,antwortete,nein
antwortete,nein,nein
nein,nein,ich
nein,ich,will
ich,will,keinen
will,keinen,elefanten
keinen,elefanten,in
elefanten,in,einer
in,einer,riesenschlage
einer,riesenschlage,eine
riesenschlage,eine,riesenschlange
eine,riesenschlange,ist
riesenschlange,ist,sehr
ist,sehr,gefährlich
sehr,gefährlich,und
gefährlich,und,ein
und,ein,elefant
ein,elefant,nimmt
elefant,nimmt,viel
nimmt,viel,platz
viel,platz,weg
platz,weg,bei
weg,bei,mir
bei,mir,ist
mir,ist,es
ist,es,ganz
es,ganz,klein
ganz,klein,ich
klein,ich,brauche
ich,brauche,ein
brauche,ein,schaf
ein,schaf,zeichne
schaf,zeichne,mir
zeichne,mir,ein
mir,ein,schaf
ein,schaf,so
schaf,so,habe
so,habe,ich
habe,ich,also
ich,also,gezeichnet
also,gezeichnet,er
gezeichnet,er,schaute
er,schaute,aufmerksam
schaute,aufmerksam,zu
aufmerksam,zu,und
zu,und,dann
und,dann,nein
dann,nein,dieses
nein,dieses,ist
dieses,ist,schon
ist,schon,sehr
schon,sehr,krank
sehr,krank,zeichne
krank,zeichne,ein
zeichne,ein,anderes
ein,anderes,und
anderes,und,ich
und,ich,zeichnete
ich,zeichnete,mein
zeichnete,mein,freund
mein,freund,lächelte
freund,lächelte,lieb
lächelte,lieb,und
lieb,und,sagte
und,sagte,nachsichtig
sagte,nachsichtig,siehst
nachsichtig,siehst,du
siehst,du,das
du,das,ist
das,ist,kein
ist,kein,schaf
kein,schaf,das
schaf,das,ist
das,ist,ein
ist,ein,hammel
ein,hammel,das
hammel,das,hat
das,hat,hörner
hat,hörner,so
hörner,so,machte
so,machte,ich
machte,ich,einen
ich,einen,neuen
einen,neuen,versuch
neuen,versuch,aber
versuch,aber,er
aber,er,wurde
er,wurde,wie
wurde,wie,die
wie,die,vorherigen
die,vorherigen,abgelehnt
vorherigen,abgelehnt,das
abgelehnt,das,da
das,da,ist
da,ist,zu
ist,zu,alt
zu,alt,ich
alt,ich,möchte
ich,möchte,ein
möchte,ein,schaf
ein,schaf,das
schaf,das,lange
das,lange,lebt
lange,lebt,da
lebt,da,ich
da,ich,meinen
ich,meinen,motor
meinen,motor,endlich
motor,endlich,auseinander
endlich,auseinander,bauen
auseinander,bauen,wollte
bauen,wollte,schluderte
wollte,schluderte,ich
schluderte,ich,ungeduldig
ich,ungeduldig,dieses
ungeduldig,dieses,bild
dieses,bild,hin
bild,hin,und
hin,und,sagte
und,sagte,das
sagte,das,hier
das,hier,ist
hier,ist,eine
ist,eine,kiste
eine,kiste,das
kiste,das,schaf
das,schaf,ist
schaf,ist,da
ist,da,drin
da,drin,aber
drin,aber,ich
aber,ich,war
ich,war,sehr
war,sehr,überrascht
sehr,überrascht,als
überrascht,als,ich
als,ich,sah
ich,sah,wie
sah,wie,das
wie,das,gesicht
das,gesicht,meines
gesicht,meines,jungen
meines,jungen,kritikers
jungen,kritikers,strahlte
kritikers,strahlte,genauso
strahlte,genauso,wollte
genauso,wollte,ich
wollte,ich,es
ich,es,glaubst
es,glaubst,du
glaubst,du,man
du,man,braucht
man,braucht,viel
braucht,viel,gras
viel,gras,für
gras,für,dieses
für,dieses,schaf
dieses,schaf,warum
schaf,warum,weil
warum,weil,es
weil,es,bei
es,bei,mir
bei,mir,ganz
mir,ganz,klein
ganz,klein,ist
klein,ist,es
ist,es,reicht
es,reicht,ganz
reicht,ganz,sicher
ganz,sicher,aus
sicher,aus,ich
aus,ich,habe
ich,habe,dir
habe,dir,ein
dir,ein,ganz
ein,ganz,kleines
ganz,kleines,schaf
kleines,schaf,gegeben
schaf,gegeben,er
gegeben,er,beugte
er,beugte,den
beugte,den,kopf
den,kopf,über
kopf,über,die
über,die,zeichnung
die,zeichnung,na
zeichnung,na,so
na,so,klein
so,klein,auch
klein,auch,nicht
auch,nicht,schau
nicht,schau,es
schau,es,ist
es,ist,eingeschlafen
ist,eingeschlafen,und
eingeschlafen,und,so
und,so,habe
so,habe,ich
habe,ich,den
ich,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,kennengelernt
prinzen,kennengelernt,ich
kennengelernt,ich,brauchte
ich,brauchte,lange
brauchte,lange,um
lange,um,zu
um,zu,verstehen
zu,verstehen,woher
verstehen,woher,er
woher,er,kam
er,kam,der
kam,der,kleine
der,kleine,prinz
kleine,prinz,stellte
prinz,stellte,mir
stellte,mir,viele
mir,viele,fragen
viele,fragen,aber
fragen,aber,schien
aber,schien,meine
schien,meine,zu
meine,zu,überhören
zu,überhören,es
überhören,es,waren
es,waren,zufällig
waren,zufällig,ausgesprochene
zufällig,ausgesprochene,worte
ausgesprochene,worte,durch
worte,durch,die
durch,die,mir
die,mir,nach
mir,nach,und
nach,und,nach
und,nach,alles
nach,alles,klar
alles,klar,wurde
klar,wurde,als
wurde,als,er
als,er,das
er,das,erste
das,erste,mal
erste,mal,mein
mal,mein,flugzeug
mein,flugzeug,sah
flugzeug,sah,ich
sah,ich,zeichne
ich,zeichne,mein
zeichne,mein,flugzeug
mein,flugzeug,hier
flugzeug,hier,nicht
hier,nicht,denn
nicht,denn,das
denn,das,ist
das,ist,viel
ist,viel,zu
viel,zu,schwierig
zu,schwierig,für
schwierig,für,mich
für,mich,da
mich,da,fragte
da,fragte,er
fragte,er,mich
er,mich,was
mich,was,ist
was,ist,dieses
ist,dieses,ding
dieses,ding,das
ding,das,ist
das,ist,kein
ist,kein,ding
kein,ding,es
ding,es,fliegt
es,fliegt,das
fliegt,das,ist
das,ist,ein
ist,ein,flugzeug
ein,flugzeug,das
flugzeug,das,ist
das,ist,mein
ist,mein,flugzeug
mein,flugzeug,ich
flugzeug,ich,war
ich,war,stolz
war,stolz,ihm
stolz,ihm,mitzuteilen
ihm,mitzuteilen,dass
mitzuteilen,dass,ich
dass,ich,fliegen
ich,fliegen,konnte
fliegen,konnte,aber
konnte,aber,er
aber,er,rief
er,rief,wie
rief,wie,du
wie,du,bist
du,bist,vom
bist,vom,himmel
vom,himmel,gefallen
himmel,gefallen,ja
gefallen,ja,erwiderte
ja,erwiderte,ich
erwiderte,ich,bescheiden
ich,bescheiden,ah
bescheiden,ah,das
ah,das,ist
das,ist,lustig
ist,lustig,und
lustig,und,der
und,der,kleine
der,kleine,prinz
kleine,prinz,brach
prinz,brach,in
brach,in,ein
in,ein,herzliches
ein,herzliches,lachen
herzliches,lachen,aus
lachen,aus,das
aus,das,mich
das,mich,sehr
mich,sehr,verärgerte
sehr,verärgerte,ich
verärgerte,ich,wünsche
ich,wünsche,dass
wünsche,dass,man
dass,man,ernst
man,ernst,nimmt
ernst,nimmt,was
nimmt,was,mir
was,mir,an
mir,an,unheil
an,unheil,zustößt
unheil,zustößt,dann
zustößt,dann,fügte
dann,fügte,er
fügte,er,hinzu
er,hinzu,also
hinzu,also,kommst
also,kommst,du
kommst,du,auch
du,auch,aus
auch,aus,dem
aus,dem,himmel
dem,himmel,von
himmel,von,welchem
von,welchem,planeten
welchem,planeten,stammst
planeten,stammst,du
stammst,du,plötzlich
du,plötzlich,wurde
plötzlich,wurde,mir
wurde,mir,klar
mir,klar,was
klar,was,es
was,es,mit
es,mit,seiner
mit,seiner,anwesenheit
seiner,anwesenheit,auf
anwesenheit,auf,sich
auf,sich,haben
sich,haben,könnte
haben,könnte,und
könnte,und,ich
und,ich,fragte
ich,fragte,schnell
fragte,schnell,du
schnell,du,stammst
du,stammst,also
stammst,also,von
also,von,einem
von,einem,anderen
einem,anderen,planeten
anderen,planeten,aber
planeten,aber,er
aber,er,antwortete
er,antwortete,mir
antwortete,mir,nicht
mir,nicht,er
nicht,er,nickte
er,nickte,nur
nickte,nur,sanft
nur,sanft,während
sanft,während,er
während,er,mein
er,mein,flugzeug
mein,flugzeug,betrachtete
flugzeug,betrachtete,auf
betrachtete,auf,diesem
auf,diesem,ding
diesem,ding,kannst
ding,kannst,du
kannst,du,nicht
du,nicht,von
nicht,von,sehr
von,sehr,weit
sehr,weit,her
weit,her,kommen
her,kommen,und
kommen,und,er
und,er,verfiel
er,verfiel,in
verfiel,in,eine
in,eine,lange
eine,lange,träumerei
lange,träumerei,er
träumerei,er,holte
er,holte,das
holte,das,schaf
das,schaf,aus
schaf,aus,seiner
aus,seiner,tasche
seiner,tasche,und
tasche,und,bewunderte
und,bewunderte,lange
bewunderte,lange,zeit
lange,zeit,seinen
zeit,seinen,schatz
seinen,schatz,ihr
schatz,ihr,könnt
ihr,könnt,euch
könnt,euch,vorstellen
euch,vorstellen,wie
vorstellen,wie,sehr
wie,sehr,es
sehr,es,mich
es,mich,beschäftigte
mich,beschäftigte,was
beschäftigte,was,er
was,er,mir
er,mir,über
mir,über,die
über,die,anderen
die,anderen,planeten
anderen,planeten,schon
planeten,schon,halb
schon,halb,anvertraut
halb,anvertraut,hatte
anvertraut,hatte,so
hatte,so,strengte
so,strengte,ich
strengte,ich,mich
ich,mich,an
mich,an,mehr
an,mehr,darüber
mehr,darüber,zu
darüber,zu,erfahren
zu,erfahren,woher
erfahren,woher,kommst
woher,kommst,du
kommst,du,kleiner
du,kleiner,kerl
kleiner,kerl,wo
kerl,wo,ist
wo,ist,dein
ist,dein,zuhause
dein,zuhause,wohin
zuhause,wohin,willst
wohin,willst,du
willst,du,mein
du,mein,schaf
mein,schaf,mitnehmen
schaf,mitnehmen,er
mitnehmen,er,antwortete
er,antwortete,mir
antwortete,mir,nach
mir,nach,einem
nach,einem,nachdenklichen
einem,nachdenklichen,schweigen
nachdenklichen,schweigen,das
schweigen,das,gute
das,gute,an
gute,an,der
an,der,kiste
der,kiste,die
kiste,die,du
die,du,mir
du,mir,gegeben
mir,gegeben,hast
gegeben,hast,ist
hast,ist,dass
ist,dass,sie
dass,sie,ihm
sie,ihm,als
ihm,als,haus
als,haus,dienen
haus,dienen,wird
dienen,wird,in
wird,in,der
in,der,nacht
der,nacht,ganz
nacht,ganz,bestimmt
ganz,bestimmt,und
bestimmt,und,wenn
und,wenn,du
wenn,du,nett
du,nett,bist
nett,bist,gebe
bist,gebe,ich
gebe,ich,dir
ich,dir,auch
dir,auch,einenstrick
auch,einenstrick,um
einenstrick,um,es
um,es,nachts
es,nachts,festzubinden
nachts,festzubinden,und
festzubinden,und,einen
und,einen,pflock
einen,pflock,dieser
pflock,dieser,vorschlag
dieser,vorschlag,schien
vorschlag,schien,den
schien,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,zu
prinzen,zu,schockieren
zu,schockieren,es
schockieren,es,festbinden
es,festbinden,was
festbinden,was,für
was,für,eine
für,eine,merkwürdige
eine,merkwürdige,idee
