bigram,freq
"('weil', 'sie')",7
"('der', 'weichensteller')",7
"('hier', 'ist')",6
"('auf', 'den')",6
"('ist', 'sehr')",6
"('ich', 'die')",6
"('ich', 'hatte')",6
"('sich', 'um')",6
"('man', 'nicht')",6
"('mein', 'freund')",6
"('ist', 'zu')",6
"('ist', 'eine')",6
"('fragte', 'er')",6
"('wie', 'du')",6
"('dass', 'man')",6
"('die', 'anderen')",6
"('mich', 'an')",6
"('kleiner', 'kerl')",6
"('wiederholte', 'der')",6
"('ist', 'der')",6
"('ich', 'mir')",6
"('mit', 'der')",6
"('um', 'den')",6
"('wenn', 'es')",6
"('er', 'hatte')",6
"('die', 'sonne')",6
"('ich', 'glaube')",6
"('weißt', 'du')",6
"('er', 'sie')",6
"('gar', 'nichts')",6
"('einer', 'blume')",6
"('als', 'die')",6
"('alle', 'sterne')",6
"('er', 'nicht')",6
"('man', 'weiß')",6
"('das', 'wird')",6
"('bist', 'du')",6
"('an', 'den')",6
"('fünfhundert', 'millionen')",6
"('der', 'geschäftsmann')",6
"('kann', 'ich')",6
"('die', 'wüste')",6
"('zu', 'trinken')",6
"('mit', 'einem')",5
"('so', 'aus')",5
"('auf', 'meinem')",5
"('zu', 'machen')",5
"('muss', 'man')",5
"('ganz', 'allein')",5
"('für', 'die')",5
"('die', 'kinder')",5
"('ich', 'einen')",5
"('und', 'es')",5
"('sich', 'in')",5
"('hatte', 'ich')",5
"('sie', 'hat')",5
"('ich', 'ihn')",5
"('ihn', 'mit')",5
"('entfernt', 'von')",5
"('als', 'ein')",5
"('zeichne', 'mir')",5
"('die', 'augen')",5
"('das', 'macht')",5
"('und', 'sagte')",5
"('über', 'die')",5
"('und', 'nach')",5
"('mein', 'flugzeug')",5
"('er', 'mir')",5
"('nach', 'einem')",5
"('dass', 'sie')",5
"('für', 'eine')",5
"('ich', 'wusste')",5
"('man', 'sie')",5
"('zum', 'beispiel')",5
"('wegen', 'der')",5
"('sich', 'ein')",5
"('hätte', 'ich')",5
"('einen', 'freund')",5
"('zu', 'vergessen')",5
"('ich', 'weiß')",5
"('aber', 'der')",5
"('dem', 'planeten')",5
"('den', 'ganzen')",5
"('wie', 'ich')",5
"('nur', 'die')",5
"('weiß', 'ja')",5
"('er', 'die')",5
"('und', 'das')",5
"('muss', 'ich')",5
"('er', 'hat')",5
"('so', 'wie')",5
"('nicht', 'wichtig')",5
"('zu', 'sein')",5
"('blume', 'ich')",5
"('sie', 'wieder')",5
"('nicht', 'so')",5
"('sie', 'nicht')",5
"('mich', 'zu')",5
"('ich', 'konnte')",5
"('war', 'nicht')",5
"('adieu', 'sagte')",5
"('dass', 'du')",5
"('nicht', 'sagte')",5
"('wirst', 'du')",5
"('prinz', 'ich')",5
"('sind', 'doch')",5
"('prinz', 'auf')",5
"('was', 'bedeutet')",5
"('der', 'säufer')",5
"('du', 'dich')",5
"('keine', 'zeit')",5
"('er', 'auf')",5
"('die', 'erde')",5
"('wer', 'seid')",5
"('seid', 'ihr')",5
"('die', 'rosen')",5
"('dich', 'nicht')",5
"('nicht', 'und')",5
"('für', 'dich')",5
"('sie', 'es')",5
"('ich', 'schwieg')",5
"('sechs', 'jahre')",4
"('in', 'einem')",4
"('über', 'den')",4
"('das', 'erste')",4
"('erste', 'mal')",4
"('so', 'habe')",4
"('habe', 'sie')",4
"('der', 'welt')",4
"('mir', 'die')",4
"('ich', 'im')",4
"('aus', 'der')",4
"('hat', 'sich')",4
"('nicht', 'sonderlich')",4
"('auf', 'einen')",4
"('dem', 'ich')",4
"('im', 'sand')",4
"('meilen', 'entfernt')",4
"('und', 'schaute')",4
"('ich', 'sah')",4
"('nicht', 'ich')",4
"('tausend', 'meilen')",4
"('und', 'einen')",4
"('und', 'so')",4
"('antwortete', 'mir')",4
"('von', 'der')",4
"('als', 'der')",4
"('und', 'ein')",4
"('weil', 'es')",4
"('den', 'kopf')",4
"('so', 'klein')",4
"('viel', 'zu')",4
"('fügte', 'er')",4
"('er', 'hinzu')",4
"('kommst', 'du')",4
"('anderen', 'planeten')",4
"('nicht', 'er')",4
"('du', 'es')",4
"('prinz', 'das')",4
"('von', 'ihnen')",4
"('hatte', 'ihm')",4
"('sind', 'die')",4
"('über', 'das')",4
"('in', 'ruhe')",4
"('ich', 'hätte')",4
"('ein', 'kleiner')",4
"('denn', 'ich')",4
"('ihn', 'nicht')",4
"('ich', 'ein')",4
"('zu', 'klein')",4
"('ich', 'muss')",4
"('den', 'planeten')",4
"('ich', 'verstand')",4
"('selbst', 'wenn')",4
"('die', 'affenbrotbäume')",4
"('das', 'stimmt')",4
"('planeten', 'des')",4
"('waren', 'die')",4
"('wenn', 'der')",4
"('sagte', 'mir')",4
"('von', 'den')",4
"('planeten', 'auf')",4
"('der', 'sich')",4
"('an', 'dem')",4
"('wenn', 'die')",4
"('einer', 'frage')",4
"('einmal', 'gestellt')",4
"('gestellt', 'hatte')",4
"('aber', 'nein')",4
"('bin', 'ein')",4
"('wichtig', 'sein')",4
"('glücklich', 'zu')",4
"('meine', 'blume')",4
"('zu', 'ihm')",4
"('blume', 'ist')",4
"('für', 'deine')",4
"('was', 'ich')",4
"('ich', 'fühlte')",4
"('am', 'abend')",4
"('sich', 'an')",4
"('nicht', 'ganz')",4
"('sie', 'war')",4
"('hatte', 'sie')",4
"('sie', 'die')",4
"('antwortete', 'die')",4
"('nicht', 'aber')",4
"('mit', 'einer')",4
"('hatte', 'der')",4
"('nicht', 'auf')",4
"('konnte', 'mich')",4
"('vulkane', 'die')",4
"('ja', 'nie')",4
"('die', 'glasglocke')",4
"('nicht', 'der')",4
"('den', 'weg')",4
"('prinz', 'schaute')",4
"('ihn', 'der')",4
"('der', 'prinz')",4
"('hm', 'hm')",4
"('in', 'einen')",4
"('planet', 'war')",4
"('denn', 'er')",4
"('nicht', 'nur')",4
"('natürlich', 'sagte')",4
"('zu', 'haben')",4
"('du', 'sie')",4
"('nur', 'eine')",4
"('erwachsenen', 'sind')",4
"('doch', 'wirklich')",4
"('auf', 'seiner')",4
"('seiner', 'reise')",4
"('du', 'mich')",4
"('prinz', 'um')",4
"('bin', 'mit')",4
"('mit', 'ernst')",4
"('ernst', 'bei')",4
"('der', 'sache')",4
"('ich', 'besitze')",4
"('bringt', 'es')",4
"('der', 'sterne')",4
"('drei', 'vulkane')",4
"('von', 'allen')",4
"('seine', 'laterne')",4
"('hast', 'du')",4
"('an', 'die')",4
"('du', 'musst')",4
"('sich', 'noch')",4
"('ein', 'forscher')",4
"('den', 'himmel')",4
"('nicht', 'mal')",4
"('und', 'alle')",4
"('bin', 'allein')",4
"('menschen', 'haben')",4
"('sein', 'ich')",4
"('ist', 'für')",4
"('werde', 'dich')",4
"('den', 'fuchs')",4
"('noch', 'einmal')",4
"('meine', 'rose')",4
"('mir', 'zu')",4
"('und', 'wieder')",4
"('wieder', 'lachte')",4
"('lachte', 'er')",4
"('mal', 'ein')",3
"('eine', 'riesenschlange')",3
"('sie', 'zu')",3
"('meine', 'zeichnung')",3
"('zeichnung', 'nr')",3
"('aus', 'ich')",3
"('hätten', 'sie')",3
"('um', 'es')",3
"('ich', 'mit')",3
"('sechs', 'jahren')",3
"('war', 'ich')",3
"('man', 'sich')",3
"('so', 'hatte')",3
"('zu', 'tun')",3
"('ich', 'wollte')",3
"('ich', 'vor')",3
"('weil', 'ich')",3
"('es', 'für')",3
"('ich', 'bei')",3
"('bitte', 'zeichne')",3
"('schaf', 'ich')",3
"('hin', 'und')",3
"('ihm', 'zu')",3
"('die', 'großen')",3
"('ich', 'schaute')",3
"('auf', 'diese')",3
"('schien', 'mir')",3
"('nicht', 'wie')",3
"('ein', 'kind')",3
"('dem', 'kleinen')",3
"('ich', 'will')",3
"('in', 'einer')",3
"('er', 'schaute')",3
"('zu', 'und')",3
"('siehst', 'du')",3
"('du', 'das')",3
"('schaf', 'das')",3
"('war', 'sehr')",3
"('wie', 'das')",3
"('ich', 'es')",3
"('dir', 'ein')",3
"('um', 'zu')",3
"('durch', 'die')",3
"('nach', 'und')",3
"('er', 'das')",3
"('sah', 'ich')",3
"('mich', 'was')",3
"('aus', 'das')",3
"('dann', 'fügte')",3
"('was', 'es')",3
"('mir', 'nicht')",3
"('auf', 'diesem')",3
"('nicht', 'von')",3
"('was', 'er')",3
"('du', 'mir')",3
"('was', 'für')",3
"('mir', 'und')",3
"('lernte', 'ich')",3
"('ich', 'eine')",3
"('dass', 'es')",3
"('sie', 'selbst')",3
"('wenn', 'ein')",3
"('ein', 'einziges')",3
"('einziges', 'mal')",3
"('ihr', 'ihnen')",3
"('stellen', 'sie')",3
"('das', 'wesentliche')",3
"('er', 'wie')",3
"('hat', 'er')",3
"('glauben', 'sie')",3
"('sie', 'ihn')",3
"('erwachsenen', 'ich')",3
"('wenn', 'ihr')",3
"('war', 'dass')",3
"('er', 'lachte')",3
"('man', 'ein')",3
"('dann', 'werden')",3
"('sein', 'und')",3
"('einem', 'planeten')",3
"('ich', 'mag')",3
"('jahre', 'her')",3
"('ich', 'versuche')",3
"('hatte', 'schon')",3
"('so', 'gut')",3
"('aber', 'das')",3
"('ich', 'sei')",3
"('weiß', 'nicht')",3
"('schon', 'ein')",3
"('jeden', 'tag')",3
"('ich', 'am')",3
"('auch', 'das')",3
"('ist', 'doch')",3
"('ah', 'da')",3
"('fügte', 'hinzu')",3
"('nicht', 'an')",3
"('aber', 'warum')",3
"('es', 'gab')",3
"('gab', 'es')",3
"('samen', 'von')",3
"('sich', 'und')",3
"('der', 'sonne')",3
"('der', 'affenbrotbäume')",3
"('sich', 'zu')",3
"('der', 'planet')",3
"('wenn', 'sie')",3
"('ihnen', 'das')",3
"('ebenso', 'wie')",3
"('in', 'diesem')",3
"('dich', 'zu')",3
"('aber', 'man')",3
"('lachen', 'und')",3
"('noch', 'ich')",3
"('du', 'die')",3
"('traurig', 'aber')",3
"('antwortete', 'nicht')",3
"('die', 'blumen')",3
"('sie', 'einmal')",3
"('antwortete', 'ich')",3
"('nichts', 'ich')",3
"('er', 'sah')",3
"('er', 'fügte')",3
"('hat', 'noch')",3
"('noch', 'nie')",3
"('noch', 'niemals')",3
"('du', 'ich')",3
"('prinz', 'war')",3
"('soll', 'nicht')",3
"('sich', 'so')",3
"('es', 'nur')",3
"('meinem', 'planeten')",3
"('planeten', 'und')",3
"('eines', 'morgens')",3
"('diese', 'blume')",3
"('sein', 'er')",3
"('ihm', 'ein')",3
"('dort', 'ist')",3
"('blume', 'aber')",3
"('so', 'ist')",3
"('so', 'als')",3
"('auf', 'einmal')",3
"('einmal', 'an')",3
"('die', 'nacht')",3
"('einem', 'stern')",3
"('in', 'die')",3
"('nicht', 'in')",3
"('ich', 'ihm')",3
"('nur', 'mit')",3
"('waren', 'sie')",3
"('von', 'dem')",3
"('sie', 'wollte')",3
"('wollte', 'nicht')",3
"('und', 'ganz')",3
"('um', 'die')",3
"('vier', 'dornen')",3
"('erwiderte', 'der')",3
"('sie', 'mich')",3
"('sich', 'selbst')",3
"('zwei', 'oder')",3
"('oder', 'drei')",3
"('mit', 'mir')",3
"('diese', 'geschichte')",3
"('um', 'sie')",3
"('erloschenen', 'vulkan')",3
"('zu', 'hören')",3
"('ich', 'liebe')",3
"('der', 'wind')",3
"('aber', 'die')",3
"('wird', 'mich')",3
"('nicht', 'dass')",3
"('er', 'ihnen')",3
"('könig', 'der')",3
"('es', 'dass')",3
"('die', 'welt')",3
"('alle', 'menschen')",3
"('ich', 'dich')",3
"('zu', 'gähnen')",3
"('es', 'dir')",3
"('machte', 'der')",3
"('mal', 'zu')",3
"('war', 'ein')",3
"('weil', 'er')",3
"('oder', 'eine')",3
"('wird', 'es')",3
"('der', 'niemals')",3
"('niemals', 'von')",3
"('frage', 'abließ')",3
"('könig', 'ich')",3
"('ich', 'mache')",3
"('platz', 'für')",3
"('für', 'ein')",3
"('die', 'andere')",3
"('du', 'ein')",3
"('sie', 'mir')",3
"('reise', 'der')",3
"('prinz', 'sie')",3
"('vergessen', 'sagte')",3
"('gab', 'der')",3
"('machte', 'sich')",3
"('millionen', 'wovon')",3
"('ich', 'auf')",3
"('diesem', 'planeten')",3
"('er', 'machte')",3
"('die', 'man')",3
"('sterne', 'ja')",3
"('du', 'mit')",3
"('bisschen', 'so')",3
"('wie', 'mein')",3
"('er', 'noch')",3
"('ist', 'man')",3
"('war', 'der')",3
"('er', 'seine')",3
"('wieder', 'an')",3
"('es', 'nichts')",3
"('wie', 'er')",3
"('der', 'anzünder')",3
"('nichts', 'sagte')",3
"('dieser', 'kerl')",3
"('setzte', 'sich')",3
"('prinz', 'was')",3
"('das', 'kann')",3
"('nicht', 'wissen')",3
"('wissen', 'sagte')",3
"('der', 'forscher')",3
"('sie', 'finden')",3
"('auf', 'gut')",3
"('gut', 'glück')",3
"('schlange', 'der')",3
"('schlange', 'und')",3
"('man', 'ist')",3
"('den', 'ich')",3
"('prinz', 'guten')",3
"('antwortete', 'das')",3
"('und', 'dabei')",3
"('unter', 'dem')",3
"('ein', 'fuchs')",3
"('bedeutet', 'zähmen')",3
"('menschen', 'sagte')",3
"('fuchs', 'es')",3
"('kleiner', 'junge')",3
"('der', 'ganzen')",3
"('ganzen', 'welt')",3
"('fuchs', 'aber')",3
"('ach', 'sagte')",3
"('ihr', 'seid')",3
"('habe', 'weil')",3
"('dem', 'herzen')",3
"('sich', 'daran')",3
"('daran', 'zu')",3
"('zu', 'erinnern')",3
"('habe', 'die')",3
"('für', 'das')",3
"('das', 'was')",3
"('verantwortlich', 'für')",3
"('dreiundfünfzig', 'minuten')",3
"('ganz', 'in')",3
"('ich', 'zum')",3
"('zum', 'kleinen')",3
"('einen', 'brunnen')",3
"('brunnen', 'in')",3
"('auf', 'meine')",3
"('meine', 'frage')",3
"('bei', 'tagesanbruch')",3
"('traurig', 'sein')",3
"('sein', 'du')",3
"('kerl', 'ich')",3
"('noch', 'immer')",3
"('mein', 'stern')",3
"('wie', 'mit')",3
"('wird', 'so')",3
"('nicht', 'verlassen')",3
"('aussehen', 'als')",3
"('hat', 'das')",3
"('blume', 'gefressen')",3
"('ich', 'sechs')",2
"('jahre', 'alt')",2
"('alt', 'war')",2
"('ich', 'in')",2
"('es', 'zeigte')",2
"('zeigte', 'eine')",2
"('riesenschlange', 'die')",2
"('das', 'bild')",2
"('sah', 'so')",2
"('den', 'erwachsenen')",2
"('meiner', 'zeichnung')",2
"('haben', 'mir')",2
"('sollte', 'man')",2
"('man', 'vor')",2
"('angst', 'haben')",2
"('gar', 'kein')",2
"('ich', 'also')",2
"('gezeichnet', 'um')",2
"('es', 'den')",2
"('den', 'großen')",2
"('man', 'ihnen')",2
"('aus', 'die')",2
"('zu', 'beschäftigen')",2
"('und', 'grammatik')",2
"('mit', 'sechs')",2
"('ich', 'vom')",2
"('nie', 'etwas')",2
"('etwas', 'von')",2
"('musste', 'ich')",2
"('finden', 'und')",2
"('der', 'nacht')",2
"('tun', 'ich')",2
"('sie', 'ganz')",2
"('der', 'nähe')",2
"('der', 'mir')",2
"('ich', 'immer')",2
"('war', 'aber')",2
"('aber', 'immer')",2
"('die', 'antwort')",2
"('ich', 'weder')",2
"('ließ', 'mich')",2
"('mich', 'auf')",2
"('ein', 'ich')",2
"('einen', 'so')",2
"('jahren', 'eine')",2
"('panne', 'in')",2
"('an', 'meinem')",2
"('meinem', 'motor')",2
"('und', 'weil')",2
"('acht', 'tage')",2
"('von', 'besiedeltem')",2
"('besiedeltem', 'gebiet')",2
"('euch', 'vorstellen')",2
"('vorstellen', 'wie')",2
"('wurde', 'und')",2
"('kleines', 'kerlchen')",2
"('das', 'mich')",2
"('mich', 'ernst')",2
"('hier', 'das')",2
"('das', 'ich')",2
"('von', 'ihm')",2
"('zu', 'stande')",2
"('ist', 'meine')",2
"('haben', 'mich')",2
"('mich', 'von')",2
"('von', 'meiner')",2
"('ich', 'nichts')",2
"('nichts', 'zu')",2
"('zu', 'zeichnen')",2
"('geschlossene', 'und')",2
"('mir', 'das')",2
"('gar', 'nicht')",2
"('hatte', 'sagte')",2
"('aber', 'was')",2
"('du', 'denn')",2
"('wiederholte', 'er')",2
"('um', 'eine')",2
"('eine', 'sehr')",2
"('nicht', 'zu')",2
"('es', 'mir')",2
"('ich', 'erinnerte')",2
"('erinnerte', 'mich')",2
"('daran', 'dass')",2
"('vor', 'allem')",2
"('so', 'sagte')",2
"('zu', 'dem')",2
"('macht', 'nichts')",2
"('ich', 'einfach')",2
"('nein', 'ich')",2
"('viel', 'platz')",2
"('ganz', 'klein')",2
"('ich', 'brauche')",2
"('ist', 'schon')",2
"('anderes', 'und')",2
"('ist', 'kein')",2
"('das', 'hat')",2
"('einen', 'neuen')",2
"('da', 'ist')",2
"('ich', 'möchte')",2
"('da', 'ich')",2
"('sagte', 'das')",2
"('schaf', 'ist')",2
"('sehr', 'überrascht')",2
"('wollte', 'ich')",2
"('warum', 'weil')",2
"('klein', 'ist')",2
"('ganz', 'sicher')",2
"('kleines', 'schaf')",2
"('klein', 'auch')",2
"('auch', 'nicht')",2
"('woher', 'er')",2
"('er', 'kam')",2
"('fragen', 'aber')",2
"('es', 'waren')",2
"('die', 'mir')",2
"('mir', 'nach')",2
"('ich', 'zeichne')",2
"('hier', 'nicht')",2
"('da', 'fragte')",2
"('er', 'mich')",2
"('ist', 'lustig')",2
"('prinz', 'brach')",2
"('in', 'ein')",2
"('lachen', 'aus')",2
"('mich', 'sehr')",2
"('mir', 'an')",2
"('hinzu', 'also')",2
"('welchem', 'planeten')",2
"('einem', 'anderen')",2
"('während', 'er')",2
"('er', 'mein')",2
"('weit', 'her')",2
"('in', 'eine')",2
"('eine', 'lange')",2
"('lange', 'zeit')",2
"('willst', 'du')",2
"('du', 'mein')",2
"('mein', 'schaf')",2
"('mitnehmen', 'er')",2
"('die', 'du')",2
"('ist', 'dass')",2
"('sie', 'ihm')",2
"('es', 'nachts')",2
"('prinzen', 'zu')",2
"('und', 'sich')",2
"('soll', 'es')",2
"('es', 'denn')",2
"('bemerkte', 'der')",2
"('sein', 'heimatplanet')",2
"('war', 'kaum')",2
"('kaum', 'größer')",2
"('größer', 'als')",2
"('ein', 'haus')",2
"('wie', 'der')",2
"('oder', 'der')",2
"('planeten', 'gibt')",2
"('kann', 'wenn')",2
"('glauben', 'dass')",2
"('prinzen', 'der')",2
"('der', 'asteroid')",2
"('asteroid', 'b')",2
"('ist', 'nur')",2
"('im', 'jahre')",2
"('hat', 'ein')",2
"('ein', 'türkischer')",2
"('seine', 'entdeckung')",2
"('hatte', 'er')",2
"('er', 'bei')",2
"('wollen', 'so')",2
"('so', 'sind')",2
"('für', 'den')",2
"('den', 'asteroiden')",2
"('asteroiden', 'b')",2
"('sich', 'nach')",2
"('alle', 'seiner')",2
"('ich', 'euch')",2
"('lieben', 'zahlen')",2
"('erzählt', 'ihr')",2
"('sie', 'euch')",2
"('euch', 'wie')",2
"('wie', 'viel')",2
"('ihn', 'zu')",2
"('ihr', 'den')",2
"('habe', 'ein')",2
"('ihnen', 'sagen')",2
"('ist', 'dann')",2
"('wie', 'schön')",2
"('dafür', 'dass')",2
"('das', 'doch')",2
"('es', 'einen')",2
"('gibt', 'dann')",2
"('werden', 'sie')",2
"('sie', 'mit')",2
"('den', 'schultern')",2
"('und', 'euch')",2
"('aber', 'sein')",2
"('euch', 'in')",2
"('mit', 'ihren')",2
"('sind', 'sie')",2
"('die', 'das')",2
"('das', 'leben')",2
"('leben', 'verstehen')",2
"('die', 'geschichte')",2
"('kleiner', 'prinz')",2
"('planeten', 'der')",2
"('schon', 'sechs')",2
"('ist', 'traurig')",2
"('werden', 'die')",2
"('die', 'sich')",2
"('sich', 'nur')",2
"('mir', 'ja')",2
"('ist', 'schwierig')",2
"('etwas', 'anderes')",2
"('und', 'eine')",2
"('bin', 'nicht')",2
"('ob', 'ich')",2
"('prinz', 'zu')",2
"('er', 'zu')",2
"('der', 'farbe')",2
"('mal', 'so')",2
"('und', 'mal')",2
"('es', 'geht')",2
"('man', 'mir')",2
"('wie', 'man')",2
"('bisschen', 'wie')",2
"('erfuhr', 'ich')",2
"('den', 'affenbrotbäumen')",2
"('dass', 'schafe')",2
"('schafe', 'sträucher')",2
"('sträucher', 'fressen')",2
"('ja', 'das')",2
"('es', 'so')",2
"('prinzen', 'darauf')",2
"('so', 'groß')",2
"('würde', 'so')",2
"('so', 'würde')",2
"('einen', 'einzigen')",2
"('man', 'müsste')",2
"('aber', 'dann')",2
"('dass', 'deine')",2
"('schafe', 'die')",2
"('verstehen', 'es')",2
"('gab', 'auf')",2
"('prinzen', 'wie')",2
"('wie', 'auf')",2
"('und', 'schlechte')",2
"('sie', 'schlafen')",2
"('halm', 'der')",2
"('handelt', 'es')",2
"('einer', 'rose')",2
"('kann', 'man')",2
"('man', 'ihn')",2
"('ihn', 'so')",2
"('wachsen', 'lassen')",2
"('handelt', 'dann')",2
"('dann', 'muss')",2
"('man', 'die')",2
"('sobald', 'man')",2
"('des', 'planeten')",2
"('ganzen', 'planeten')",2
"('ist', 'und')",2
"('ihn', 'das')",2
"('eine', 'frage')",2
"('morgens', 'aus')",2
"('man', 'auch')",2
"('auch', 'den')",2
"('denen', 'sie')",2
"('mir', 'zuhause')",2
"('man', 'eine')",2
"('dann', 'ist')",2
"('aber', 'wie')",2
"('sind', 'so')",2
"('ich', 'einmal')",2
"('ich', 'sage')",2
"('meine', 'freunde')",2
"('fragt', 'euch')",2
"('es', 'in')",2
"('habe', 'es')",2
"('aber', 'es')",2
"('ist', 'mir')",2
"('das', 'gefühl')",2
"('ach', 'kleiner')",2
"('ich', 'so')",2
"('am', 'morgen')",2
"('einen', 'sonnenuntergang')",2
"('dass', 'die')",2
"('das', 'weiß')",2
"('einer', 'minute')",2
"('zu', 'sehen')",2
"('zu', 'weit')",2
"('weit', 'entfernt')",2
"('auf', 'deinem')",2
"('du', 'nur')",2
"('um', 'ein')",2
"('verrücken', 'und')",2
"('und', 'schon')",2
"('wann', 'immer')",2
"('immer', 'du')",2
"('hab', 'ich')",2
"('dreiundvierzig', 'mal')",2
"('du', 'an')",2
"('prinz', 'antwortete')",2
"('im', 'leben')",2
"('im', 'stillen')",2
"('also', 'auch')",2
"('blumen', 'dornen')",2
"('der', 'zu')",2
"('meine', 'panne')",2
"('mich', 'das')",2
"('die', 'dornen')",2
"('sind', 'zu')",2
"('nichts', 'nutze')",2
"('sie', 'nur')",2
"('oh', 'aber')",2
"('einem', 'augenblick')",2
"('augenblick', 'stille')",2
"('dir', 'nicht')",2
"('blumen', 'sind')",2
"('schwach', 'sie')",2
"('leichtgläubig', 'sie')",2
"('sie', 'sehen')",2
"('antwortete', 'nichts')",2
"('nein', 'aber')",2
"('um', 'wichtige')",2
"('wichtige', 'dinge')",2
"('sah', 'mich')",2
"('der', 'hand')",2
"('im', 'wind')",2
"('niemals', 'einen')",2
"('und', 'den')",2
"('ein', 'ernstzunehmender')",2
"('ernstzunehmender', 'mann')",2
"('ein', 'pilz')",2
"('war', 'vor')",2
"('seit', 'tausenden')",2
"('tausenden', 'jahren')",2
"('dornen', 'wachsen')",2
"('sein', 'das')",2
"('die', 'es')",2
"('ein', 'mal')",2
"('auf', 'dieser')",2
"('ein', 'kleines')",2
"('einfach', 'so')",2
"('ohne', 'zu')",2
"('soll', 'das')",2
"('das', 'nicht')",2
"('ganz', 'rot')",2
"('wenn', 'jemand')",2
"('millionen', 'sternen')",2
"('zu', 'ihnen')",2
"('schaf', 'die')",2
"('an', 'zu')",2
"('der', 'durst')",2
"('einen', 'kleinen')",2
"('ich', 'nahm')",2
"('ihn', 'in')",2
"('die', 'arme')",2
"('sagte', 'zu')",2
"('einen', 'maulkorb')",2
"('ich', 'ich')",2
"('ich', 'sagen')",2
"('wusste', 'nicht')",2
"('es', 'schon')",2
"('schon', 'immer')",2
"('sie', 'waren')",2
"('gras', 'und')",2
"('und', 'am')",2
"('wieder', 'verschwunden')",2
"('ganz', 'genau')",2
"('prinz', 'sah')",2
"('er', 'fühlte')",2
"('doch', 'die')",2
"('und', 'wurde')",2
"('wurde', 'nicht')",2
"('damit', 'sich')",2
"('sich', 'im')",2
"('sie', 'ihre')",2
"('langsam', 'zog')",2
"('und', 'rückte')",2
"('bin', 'noch')",2
"('noch', 'ganz')",2
"('prinz', 'konnte')",2
"('ist', 'wohl')",2
"('im', 'gleichen')",2
"('zeit', 'zum')",2
"('fügte', 'sie')",2
"('ganz', 'verwirrt')",2
