first,second,third,fourth
und,habe,sie,gefragt
habe,sie,gefragt,ob
sie,gefragt,ob,sie
gefragt,ob,sie,vor
ob,sie,vor,meiner
sie,vor,meiner,zeichnung
vor,meiner,zeichnung,angst
meiner,zeichnung,angst,hätten
zeichnung,angst,hätten,sie
angst,hätten,sie,haben
hätten,sie,haben,mir
sie,haben,mir,geantwortet
haben,mir,geantwortet,warum
mir,geantwortet,warum,sollte
geantwortet,warum,sollte,man
warum,sollte,man,vor
sollte,man,vor,einem
man,vor,einem,hut
vor,einem,hut,angst
einem,hut,angst,haben
hut,angst,haben,dabei
angst,haben,dabei,war
haben,dabei,war,auf
dabei,war,auf,meinem
war,auf,meinem,bild
auf,meinem,bild,gar
meinem,bild,gar,kein
bild,gar,kein,hut
gar,kein,hut,es
kein,hut,es,zeigte
hut,es,zeigte,eine
es,zeigte,eine,riesenschlange
zeigte,eine,riesenschlange,die
eine,riesenschlange,die,einen
riesenschlange,die,einen,elefanten
die,einen,elefanten,verdaut
einen,elefanten,verdaut,so
elefanten,verdaut,so,habe
verdaut,so,habe,ich
so,habe,ich,also
habe,ich,also,das
ich,also,das,innere
also,das,innere,der
das,innere,der,schlage
innere,der,schlage,gezeichnet
der,schlage,gezeichnet,um
schlage,gezeichnet,um,es
gezeichnet,um,es,den
um,es,den,großen
es,den,großen,verständlich
den,großen,verständlich,zu
großen,verständlich,zu,machen
verständlich,zu,machen,immer
zu,machen,immer,muss
machen,immer,muss,man
immer,muss,man,ihnen
muss,man,ihnen,alles
man,ihnen,alles,erklären
ihnen,alles,erklären,meine
alles,erklären,meine,zeichnung
erklären,meine,zeichnung,nr
meine,zeichnung,nr,sah
zeichnung,nr,sah,so
nr,sah,so,aus
sah,so,aus,die
so,aus,die,erwachsenen
aus,die,erwachsenen,haben
die,erwachsenen,haben,mir
erwachsenen,haben,mir,geraten
haben,mir,geraten,mich
mir,geraten,mich,nicht
geraten,mich,nicht,mehr
mich,nicht,mehr,mit
nicht,mehr,mit,offenen
mehr,mit,offenen,oder
mit,offenen,oder,geschlossenen
offenen,oder,geschlossenen,riesenschlangen
oder,geschlossenen,riesenschlangen,zu
geschlossenen,riesenschlangen,zu,beschäftigen
riesenschlangen,zu,beschäftigen,sondern
zu,beschäftigen,sondern,mich
beschäftigen,sondern,mich,stattdessen
sondern,mich,stattdessen,mehr
mich,stattdessen,mehr,für
stattdessen,mehr,für,geografie
mehr,für,geografie,geschichte
für,geografie,geschichte,mathe
geografie,geschichte,mathe,und
geschichte,mathe,und,grammatik
mathe,und,grammatik,zu
und,grammatik,zu,interessieren
grammatik,zu,interessieren,so
zu,interessieren,so,gab
interessieren,so,gab,ich
so,gab,ich,mit
gab,ich,mit,sechs
ich,mit,sechs,jahren
mit,sechs,jahren,meine
sechs,jahren,meine,vielversprechende
jahren,meine,vielversprechende,malerkarriere
meine,vielversprechende,malerkarriere,auf
vielversprechende,malerkarriere,auf,derart
malerkarriere,auf,derart,entmutigt
auf,derart,entmutigt,war
derart,entmutigt,war,ich
entmutigt,war,ich,vom
war,ich,vom,misserfolg
ich,vom,misserfolg,meiner
vom,misserfolg,meiner,zeichnungen
misserfolg,meiner,zeichnungen,nr
meiner,zeichnungen,nr,und
zeichnungen,nr,und,nr
nr,und,nr,erwachsene
und,nr,erwachsene,verstehen
nr,erwachsene,verstehen,nie
erwachsene,verstehen,nie,etwas
verstehen,nie,etwas,von
nie,etwas,von,ganz
etwas,von,ganz,allein
von,ganz,allein,und
ganz,allein,und,für
allein,und,für,die
und,für,die,kinder
für,die,kinder,ist
die,kinder,ist,es
kinder,ist,es,anstrengend
ist,es,anstrengend,ihnen
es,anstrengend,ihnen,immer
anstrengend,ihnen,immer,alles
ihnen,immer,alles,zu
immer,alles,zu,erklären
alles,zu,erklären,so
zu,erklären,so,musste
erklären,so,musste,ich
so,musste,ich,einen
musste,ich,einen,anderen
ich,einen,anderen,beruf
einen,anderen,beruf,finden
anderen,beruf,finden,und
beruf,finden,und,ich
finden,und,ich,lernte
und,ich,lernte,flugzeuge
ich,lernte,flugzeuge,zu
lernte,flugzeuge,zu,steuern
flugzeuge,zu,steuern,ich
zu,steuern,ich,flog
steuern,ich,flog,ein
ich,flog,ein,bisschen
flog,ein,bisschen,in
ein,bisschen,in,der
bisschen,in,der,welt
in,der,welt,herum
der,welt,herum,und
welt,herum,und,es
herum,und,es,stimmt
und,es,stimmt,dabei
es,stimmt,dabei,half
stimmt,dabei,half,mir
dabei,half,mir,die
half,mir,die,geographie
mir,die,geographie,auf
die,geographie,auf,den
geographie,auf,den,ersten
auf,den,ersten,blick
den,ersten,blick,konnte
ersten,blick,konnte,ich
blick,konnte,ich,china
konnte,ich,china,von
ich,china,von,arizona
china,von,arizona,unterscheiden
von,arizona,unterscheiden,das
arizona,unterscheiden,das,ist
unterscheiden,das,ist,sehr
das,ist,sehr,nützlich
ist,sehr,nützlich,wenn
sehr,nützlich,wenn,man
nützlich,wenn,man,sich
wenn,man,sich,in
man,sich,in,der
sich,in,der,nacht
in,der,nacht,verirrt
der,nacht,verirrt,hat
nacht,verirrt,hat,so
verirrt,hat,so,hatte
hat,so,hatte,ich
so,hatte,ich,im
hatte,ich,im,laufe
ich,im,laufe,meines
im,laufe,meines,lebens
laufe,meines,lebens,mit
meines,lebens,mit,vielen
lebens,mit,vielen,ernsthaften
mit,vielen,ernsthaften,leuten
vielen,ernsthaften,leuten,zu
ernsthaften,leuten,zu,tun
leuten,zu,tun,ich
zu,tun,ich,habe
tun,ich,habe,viel
ich,habe,viel,bei
habe,viel,bei,erwachsenen
viel,bei,erwachsenen,gelebt
bei,erwachsenen,gelebt,und
erwachsenen,gelebt,und,ich
gelebt,und,ich,habe
und,ich,habe,sie
ich,habe,sie,ganz
habe,sie,ganz,aus
sie,ganz,aus,der
ganz,aus,der,nähe
aus,der,nähe,betrachtet
der,nähe,betrachtet,aber
nähe,betrachtet,aber,meine
betrachtet,aber,meine,meinung
aber,meine,meinung,über
meine,meinung,über,sie
meinung,über,sie,hat
über,sie,hat,sich
sie,hat,sich,deshalb
hat,sich,deshalb,nicht
sich,deshalb,nicht,sonderlich
deshalb,nicht,sonderlich,verbessert
nicht,sonderlich,verbessert,wenn
sonderlich,verbessert,wenn,ich
verbessert,wenn,ich,einen
wenn,ich,einen,traf
ich,einen,traf,der
einen,traf,der,mir
traf,der,mir,ein
der,mir,ein,bisschen
mir,ein,bisschen,heller
ein,bisschen,heller,vorkam
bisschen,heller,vorkam,dann
heller,vorkam,dann,testete
vorkam,dann,testete,ich
dann,testete,ich,ihn
testete,ich,ihn,mit
ich,ihn,mit,meiner
ihn,mit,meiner,zeichnung
mit,meiner,zeichnung,nr
meiner,zeichnung,nr,die
zeichnung,nr,die,ich
nr,die,ich,immer
die,ich,immer,bei
ich,immer,bei,mir
immer,bei,mir,trug
bei,mir,trug,ich
mir,trug,ich,wollte
trug,ich,wollte,wissen
ich,wollte,wissen,ob
wollte,wissen,ob,er
wissen,ob,er,wirklich
ob,er,wirklich,schlau
er,wirklich,schlau,war
wirklich,schlau,war,aber
schlau,war,aber,immer
war,aber,immer,erhielt
aber,immer,erhielt,ich
immer,erhielt,ich,die
erhielt,ich,die,antwort
ich,die,antwort,es
die,antwort,es,ist
antwort,es,ist,ein
es,ist,ein,hut
ist,ein,hut,so
ein,hut,so,sprach
hut,so,sprach,ich
so,sprach,ich,weder
sprach,ich,weder,von
ich,weder,von,riesenschlangen
weder,von,riesenschlangen,noch
von,riesenschlangen,noch,vom
riesenschlangen,noch,vom,urwald
noch,vom,urwald,oder
vom,urwald,oder,von
urwald,oder,von,sternen
oder,von,sternen,ich
von,sternen,ich,ließ
sternen,ich,ließ,mich
ich,ließ,mich,auf
ließ,mich,auf,ihn
mich,auf,ihn,ein
auf,ihn,ein,ich
ihn,ein,ich,sprach
ein,ich,sprach,über
ich,sprach,über,bridge
sprach,über,bridge,golf
über,bridge,golf,über
bridge,golf,über,politik
golf,über,politik,und
über,politik,und,krawatten
politik,und,krawatten,und
und,krawatten,und,der
krawatten,und,der,erwachsene
und,der,erwachsene,war
der,erwachsene,war,zufrieden
erwachsene,war,zufrieden,auf
war,zufrieden,auf,einen
zufrieden,auf,einen,so
auf,einen,so,vernünftigen
einen,so,vernünftigen,mann
so,vernünftigen,mann,zu
vernünftigen,mann,zu,treffen
mann,zu,treffen,so
zu,treffen,so,lebte
treffen,so,lebte,ich
so,lebte,ich,allein
lebte,ich,allein,ohne
ich,allein,ohne,jemanden
allein,ohne,jemanden,mit
ohne,jemanden,mit,dem
jemanden,mit,dem,ich
mit,dem,ich,wirklich
dem,ich,wirklich,hätte
ich,wirklich,hätte,sprechen
wirklich,hätte,sprechen,können
hätte,sprechen,können,bis
sprechen,können,bis,ich
können,bis,ich,vor
bis,ich,vor,sechs
ich,vor,sechs,jahren
vor,sechs,jahren,eine
sechs,jahren,eine,panne
jahren,eine,panne,in
eine,panne,in,der
panne,in,der,wüste
in,der,wüste,sahara
der,wüste,sahara,hatte
wüste,sahara,hatte,irgendetwas
sahara,hatte,irgendetwas,an
hatte,irgendetwas,an,meinem
irgendetwas,an,meinem,motor
an,meinem,motor,war
meinem,motor,war,kaputt
motor,war,kaputt,gegangen
war,kaputt,gegangen,und
kaputt,gegangen,und,weil
gegangen,und,weil,ich
und,weil,ich,weder
weil,ich,weder,einen
ich,weder,einen,mechaniker
weder,einen,mechaniker,noch
einen,mechaniker,noch,passagiere
mechaniker,noch,passagiere,bei
noch,passagiere,bei,mir
passagiere,bei,mir,hatte
bei,mir,hatte,bereitete
mir,hatte,bereitete,ich
hatte,bereitete,ich,mich
bereitete,ich,mich,darauf
ich,mich,darauf,vor
mich,darauf,vor,die
darauf,vor,die,schwierige
vor,die,schwierige,reparatur
die,schwierige,reparatur,ganz
schwierige,reparatur,ganz,allein
reparatur,ganz,allein,vorzunehmen
ganz,allein,vorzunehmen,dabei
allein,vorzunehmen,dabei,ging
vorzunehmen,dabei,ging,es
dabei,ging,es,für
ging,es,für,mich
es,für,mich,um
für,mich,um,leben
mich,um,leben,und
um,leben,und,tod
leben,und,tod,ich
und,tod,ich,hatte
tod,ich,hatte,trinkwasser
ich,hatte,trinkwasser,für
hatte,trinkwasser,für,knapp
trinkwasser,für,knapp,acht
für,knapp,acht,tage
knapp,acht,tage,am
acht,tage,am,ersten
tage,am,ersten,abend
am,ersten,abend,schlief
ersten,abend,schlief,ich
abend,schlief,ich,im
schlief,ich,im,sand
ich,im,sand,ein
im,sand,ein,tausende
sand,ein,tausende,meilen
ein,tausende,meilen,entfernt
tausende,meilen,entfernt,von
meilen,entfernt,von,besiedeltem
entfernt,von,besiedeltem,gebiet
von,besiedeltem,gebiet,ich
besiedeltem,gebiet,ich,war
gebiet,ich,war,viel
ich,war,viel,abgeschiedener
war,viel,abgeschiedener,als
viel,abgeschiedener,als,ein
abgeschiedener,als,ein,schiffbrüchiger
als,ein,schiffbrüchiger,mitten
ein,schiffbrüchiger,mitten,im
schiffbrüchiger,mitten,im,ozean
mitten,im,ozean,so
im,ozean,so,könnt
ozean,so,könnt,ihr
so,könnt,ihr,euch
könnt,ihr,euch,vorstellen
ihr,euch,vorstellen,wie
euch,vorstellen,wie,überrascht
vorstellen,wie,überrascht,ich
wie,überrascht,ich,war
überrascht,ich,war,als
ich,war,als,ich
war,als,ich,bei
als,ich,bei,sonnenaufgang
ich,bei,sonnenaufgang,von
bei,sonnenaufgang,von,einer
sonnenaufgang,von,einer,leisen
von,einer,leisen,lustigen
einer,leisen,lustigen,stimme
leisen,lustigen,stimme,geweckt
lustigen,stimme,geweckt,wurde
stimme,geweckt,wurde,und
geweckt,wurde,und,die
wurde,und,die,sagte
und,die,sagte,bitte
die,sagte,bitte,zeichne
sagte,bitte,zeichne,mir
bitte,zeichne,mir,ein
zeichne,mir,ein,schaf
mir,ein,schaf,wie
ein,schaf,wie,bitte
schaf,wie,bitte,zeichne
wie,bitte,zeichne,mir
bitte,zeichne,mir,ein
zeichne,mir,ein,schaf
mir,ein,schaf,ich
ein,schaf,ich,sprang
schaf,ich,sprang,auf
ich,sprang,auf,als
sprang,auf,als,wäre
auf,als,wäre,ich
als,wäre,ich,vom
wäre,ich,vom,blitz
ich,vom,blitz,getroffen
vom,blitz,getroffen,worden
blitz,getroffen,worden,ich
getroffen,worden,ich,rieb
worden,ich,rieb,mir
ich,rieb,mir,die
rieb,mir,die,augen
mir,die,augen,und
die,augen,und,schaute
augen,und,schaute,genau
und,schaute,genau,hin
schaute,genau,hin,und
genau,hin,und,ich
hin,und,ich,sah
und,ich,sah,ein
ich,sah,ein,außergewöhnliches
sah,ein,außergewöhnliches,kleines
ein,außergewöhnliches,kleines,kerlchen
außergewöhnliches,kleines,kerlchen,das
kleines,kerlchen,das,mich
kerlchen,das,mich,ernst
das,mich,ernst,betrachtete
mich,ernst,betrachtete,hier
ernst,betrachtete,hier,das
betrachtete,hier,das,beste
hier,das,beste,porträt
das,beste,porträt,das
beste,porträt,das,ich
porträt,das,ich,später
das,ich,später,von
ich,später,von,ihm
später,von,ihm,zu
von,ihm,zu,stande
ihm,zu,stande,brachte
zu,stande,brachte,aber
stande,brachte,aber,natürlich
brachte,aber,natürlich,ist
aber,natürlich,ist,meine
natürlich,ist,meine,zeichnung
ist,meine,zeichnung,weit
meine,zeichnung,weit,weniger
zeichnung,weit,weniger,bezaubernd
weit,weniger,bezaubernd,als
weniger,bezaubernd,als,das
bezaubernd,als,das,original
als,das,original,das
das,original,das,ist
original,das,ist,nicht
das,ist,nicht,meine
ist,nicht,meine,schuld
nicht,meine,schuld,die
meine,schuld,die,großen
schuld,die,großen,haben
die,großen,haben,mich
großen,haben,mich,von
haben,mich,von,meiner
mich,von,meiner,malerkarriere
von,meiner,malerkarriere,abgebracht
meiner,malerkarriere,abgebracht,als
malerkarriere,abgebracht,als,ich
abgebracht,als,ich,sechs
als,ich,sechs,jahre
ich,sechs,jahre,alt
sechs,jahre,alt,war
jahre,alt,war,sodass
alt,war,sodass,ich
war,sodass,ich,nichts
sodass,ich,nichts,zu
ich,nichts,zu,zeichnen
nichts,zu,zeichnen,gelernt
zu,zeichnen,gelernt,hatte
zeichnen,gelernt,hatte,als
gelernt,hatte,als,geschlossene
hatte,als,geschlossene,und
als,geschlossene,und,offene
geschlossene,und,offene,riesenschlangen
und,offene,riesenschlangen,ich
offene,riesenschlangen,ich,schaute
riesenschlangen,ich,schaute,also
ich,schaute,also,voller
schaute,also,voller,verwunderung
also,voller,verwunderung,mit
voller,verwunderung,mit,aufgerissenen
verwunderung,mit,aufgerissenen,augen
mit,aufgerissenen,augen,auf
aufgerissenen,augen,auf,diese
augen,auf,diese,erscheinung
auf,diese,erscheinung,vergesst
diese,erscheinung,vergesst,nicht
erscheinung,vergesst,nicht,ich
vergesst,nicht,ich,war
nicht,ich,war,tausend
ich,war,tausend,meilen
war,tausend,meilen,entfernt
tausend,meilen,entfernt,von
meilen,entfernt,von,jeglichem
entfernt,von,jeglichem,besiedelten
von,jeglichem,besiedelten,gebiet
jeglichem,besiedelten,gebiet,dabei
besiedelten,gebiet,dabei,schien
gebiet,dabei,schien,mir
dabei,schien,mir,das
schien,mir,das,kleine
mir,das,kleine,kerlchen
das,kleine,kerlchen,weder
kleine,kerlchen,weder,verirrt
kerlchen,weder,verirrt,noch
weder,verirrt,noch,todmüde
verirrt,noch,todmüde,weder
noch,todmüde,weder,hungrig
todmüde,weder,hungrig,oder
weder,hungrig,oder,durstig
hungrig,oder,durstig,noch
oder,durstig,noch,todängstlich
durstig,noch,todängstlich,es
noch,todängstlich,es,wirkte
todängstlich,es,wirkte,ganz
es,wirkte,ganz,und
wirkte,ganz,und,gar
ganz,und,gar,nicht
und,gar,nicht,wie
gar,nicht,wie,ein
nicht,wie,ein,kind
wie,ein,kind,verloren
ein,kind,verloren,inmitten
kind,verloren,inmitten,der
verloren,inmitten,der,wüste
inmitten,der,wüste,tausend
der,wüste,tausend,meilen
wüste,tausend,meilen,entfernt
tausend,meilen,entfernt,von
meilen,entfernt,von,jeglicher
entfernt,von,jeglicher,zivilisation
von,jeglicher,zivilisation,als
jeglicher,zivilisation,als,ich
zivilisation,als,ich,mich
als,ich,mich,endlich
ich,mich,endlich,gefasst
mich,endlich,gefasst,hatte
endlich,gefasst,hatte,sagte
gefasst,hatte,sagte,ich
hatte,sagte,ich,aber
sagte,ich,aber,was
ich,aber,was,machst
aber,was,machst,du
was,machst,du,denn
machst,du,denn,hier
du,denn,hier,da
denn,hier,da,wiederholte
hier,da,wiederholte,er
da,wiederholte,er,ganz
wiederholte,er,ganz,sacht
er,ganz,sacht,als
ganz,sacht,als,handele
sacht,als,handele,es
als,handele,es,sich
handele,es,sich,um
es,sich,um,eine
sich,um,eine,sehr
um,eine,sehr,ernstzunehmende
eine,sehr,ernstzunehmende,angelegenheit
sehr,ernstzunehmende,angelegenheit,bitte
ernstzunehmende,angelegenheit,bitte,zeichne
angelegenheit,bitte,zeichne,mir
bitte,zeichne,mir,ein
zeichne,mir,ein,schaf
mir,ein,schaf,bei
ein,schaf,bei,etwas
schaf,bei,etwas,so
bei,etwas,so,beeindruckend
etwas,so,beeindruckend,rätselhaftem
so,beeindruckend,rätselhaftem,wagt
beeindruckend,rätselhaftem,wagt,man
rätselhaftem,wagt,man,nicht
wagt,man,nicht,zu
man,nicht,zu,widersprechen
nicht,zu,widersprechen,so
zu,widersprechen,so,absurd
widersprechen,so,absurd,es
so,absurd,es,mir
absurd,es,mir,erschien
es,mir,erschien,holte
mir,erschien,holte,ich
erschien,holte,ich,tausend
holte,ich,tausend,meilen
ich,tausend,meilen,entfernt
tausend,meilen,entfernt,von
meilen,entfernt,von,jeder
entfernt,von,jeder,zivilisation
von,jeder,zivilisation,meinen
jeder,zivilisation,meinen,farbstift
zivilisation,meinen,farbstift,hervor
meinen,farbstift,hervor,ein
farbstift,hervor,ein,blatt
hervor,ein,blatt,papier
ein,blatt,papier,und
blatt,papier,und,einen
papier,und,einen,füller
und,einen,füller,ich
einen,füller,ich,erinnerte
füller,ich,erinnerte,mich
ich,erinnerte,mich,daran
erinnerte,mich,daran,dass
mich,daran,dass,ich
daran,dass,ich,vor
dass,ich,vor,allem
ich,vor,allem,geographie
vor,allem,geographie,geschichte
allem,geographie,geschichte,mathematik
geographie,geschichte,mathematik,und
geschichte,mathematik,und,grammatik
mathematik,und,grammatik,erlernt
und,grammatik,erlernt,hatte
grammatik,erlernt,hatte,und
erlernt,hatte,und,so
hatte,und,so,sagte
und,so,sagte,ich
so,sagte,ich,schlecht
sagte,ich,schlecht,gelaunt
ich,schlecht,gelaunt,zu
schlecht,gelaunt,zu,dem
gelaunt,zu,dem,kleinen
zu,dem,kleinen,männchen
dem,kleinen,männchen,dass
kleinen,männchen,dass,ich
männchen,dass,ich,nicht
dass,ich,nicht,zeichnen
ich,nicht,zeichnen,könne
nicht,zeichnen,könne,er
zeichnen,könne,er,antwortete
könne,er,antwortete,mir
er,antwortete,mir,das
antwortete,mir,das,macht
mir,das,macht,nichts
das,macht,nichts,zeichne
macht,nichts,zeichne,mir
nichts,zeichne,mir,ein
zeichne,mir,ein,schafweil
mir,ein,schafweil,ich
ein,schafweil,ich,niemals
schafweil,ich,niemals,ein
ich,niemals,ein,schaf
niemals,ein,schaf,gezeichnet
ein,schaf,gezeichnet,hatte
schaf,gezeichnet,hatte,malte
gezeichnet,hatte,malte,ich
hatte,malte,ich,einfach
malte,ich,einfach,eines
ich,einfach,eines,der
einfach,eines,der,zwei
eines,der,zwei,bilder
der,zwei,bilder,die
zwei,bilder,die,ich
bilder,die,ich,beherrschte
die,ich,beherrschte,jenes
ich,beherrschte,jenes,von
beherrschte,jenes,von,der
jenes,von,der,geschlossenen
von,der,geschlossenen,riesenschlange
der,geschlossenen,riesenschlange,und
geschlossenen,riesenschlange,und,ich
riesenschlange,und,ich,war
und,ich,war,verblüfft
ich,war,verblüfft,als
war,verblüfft,als,der
verblüfft,als,der,kleine
als,der,kleine,kerl
der,kleine,kerl,mir
kleine,kerl,mir,antwortete
kerl,mir,antwortete,nein
mir,antwortete,nein,nein
antwortete,nein,nein,ich
nein,nein,ich,will
nein,ich,will,keinen
ich,will,keinen,elefanten
will,keinen,elefanten,in
keinen,elefanten,in,einer
elefanten,in,einer,riesenschlage
in,einer,riesenschlage,eine
einer,riesenschlage,eine,riesenschlange
riesenschlage,eine,riesenschlange,ist
eine,riesenschlange,ist,sehr
riesenschlange,ist,sehr,gefährlich
ist,sehr,gefährlich,und
sehr,gefährlich,und,ein
gefährlich,und,ein,elefant
und,ein,elefant,nimmt
ein,elefant,nimmt,viel
elefant,nimmt,viel,platz
nimmt,viel,platz,weg
viel,platz,weg,bei
platz,weg,bei,mir
weg,bei,mir,ist
bei,mir,ist,es
mir,ist,es,ganz
ist,es,ganz,klein
es,ganz,klein,ich
ganz,klein,ich,brauche
klein,ich,brauche,ein
ich,brauche,ein,schaf
brauche,ein,schaf,zeichne
ein,schaf,zeichne,mir
schaf,zeichne,mir,ein
zeichne,mir,ein,schaf
mir,ein,schaf,so
ein,schaf,so,habe
schaf,so,habe,ich
so,habe,ich,also
habe,ich,also,gezeichnet
ich,also,gezeichnet,er
also,gezeichnet,er,schaute
gezeichnet,er,schaute,aufmerksam
er,schaute,aufmerksam,zu
schaute,aufmerksam,zu,und
aufmerksam,zu,und,dann
zu,und,dann,nein
und,dann,nein,dieses
dann,nein,dieses,ist
nein,dieses,ist,schon
dieses,ist,schon,sehr
ist,schon,sehr,krank
schon,sehr,krank,zeichne
sehr,krank,zeichne,ein
krank,zeichne,ein,anderes
zeichne,ein,anderes,und
ein,anderes,und,ich
anderes,und,ich,zeichnete
und,ich,zeichnete,mein
ich,zeichnete,mein,freund
zeichnete,mein,freund,lächelte
mein,freund,lächelte,lieb
freund,lächelte,lieb,und
lächelte,lieb,und,sagte
lieb,und,sagte,nachsichtig
und,sagte,nachsichtig,siehst
sagte,nachsichtig,siehst,du
nachsichtig,siehst,du,das
siehst,du,das,ist
du,das,ist,kein
das,ist,kein,schaf
ist,kein,schaf,das
kein,schaf,das,ist
schaf,das,ist,ein
das,ist,ein,hammel
ist,ein,hammel,das
ein,hammel,das,hat
hammel,das,hat,hörner
das,hat,hörner,so
hat,hörner,so,machte
hörner,so,machte,ich
so,machte,ich,einen
machte,ich,einen,neuen
ich,einen,neuen,versuch
einen,neuen,versuch,aber
neuen,versuch,aber,er
versuch,aber,er,wurde
aber,er,wurde,wie
er,wurde,wie,die
wurde,wie,die,vorherigen
wie,die,vorherigen,abgelehnt
die,vorherigen,abgelehnt,das
vorherigen,abgelehnt,das,da
abgelehnt,das,da,ist
das,da,ist,zu
da,ist,zu,alt
ist,zu,alt,ich
zu,alt,ich,möchte
alt,ich,möchte,ein
ich,möchte,ein,schaf
möchte,ein,schaf,das
ein,schaf,das,lange
schaf,das,lange,lebt
das,lange,lebt,da
lange,lebt,da,ich
lebt,da,ich,meinen
da,ich,meinen,motor
ich,meinen,motor,endlich
meinen,motor,endlich,auseinander
motor,endlich,auseinander,bauen
endlich,auseinander,bauen,wollte
auseinander,bauen,wollte,schluderte
bauen,wollte,schluderte,ich
wollte,schluderte,ich,ungeduldig
schluderte,ich,ungeduldig,dieses
ich,ungeduldig,dieses,bild
ungeduldig,dieses,bild,hin
dieses,bild,hin,und
bild,hin,und,sagte
hin,und,sagte,das
und,sagte,das,hier
sagte,das,hier,ist
das,hier,ist,eine
hier,ist,eine,kiste
ist,eine,kiste,das
eine,kiste,das,schaf
kiste,das,schaf,ist
das,schaf,ist,da
schaf,ist,da,drin
ist,da,drin,aber
da,drin,aber,ich
drin,aber,ich,war
aber,ich,war,sehr
ich,war,sehr,überrascht
war,sehr,überrascht,als
sehr,überrascht,als,ich
überrascht,als,ich,sah
als,ich,sah,wie
ich,sah,wie,das
sah,wie,das,gesicht
wie,das,gesicht,meines
das,gesicht,meines,jungen
gesicht,meines,jungen,kritikers
meines,jungen,kritikers,strahlte
jungen,kritikers,strahlte,genauso
kritikers,strahlte,genauso,wollte
strahlte,genauso,wollte,ich
genauso,wollte,ich,es
wollte,ich,es,glaubst
ich,es,glaubst,du
es,glaubst,du,man
glaubst,du,man,braucht
du,man,braucht,viel
man,braucht,viel,gras
braucht,viel,gras,für
viel,gras,für,dieses
gras,für,dieses,schaf
für,dieses,schaf,warum
dieses,schaf,warum,weil
schaf,warum,weil,es
warum,weil,es,bei
weil,es,bei,mir
es,bei,mir,ganz
bei,mir,ganz,klein
mir,ganz,klein,ist
ganz,klein,ist,es
klein,ist,es,reicht
ist,es,reicht,ganz
es,reicht,ganz,sicher
reicht,ganz,sicher,aus
ganz,sicher,aus,ich
sicher,aus,ich,habe
aus,ich,habe,dir
ich,habe,dir,ein
habe,dir,ein,ganz
dir,ein,ganz,kleines
ein,ganz,kleines,schaf
ganz,kleines,schaf,gegeben
kleines,schaf,gegeben,er
schaf,gegeben,er,beugte
